Section Number,Section Title,Subsection Enumeration,Subsection Title,Appendix Number,Appendix Title,Date From,Date To
1,"Undergrundslove, Eneretsbevilling m. m.",,,1,Lov Nr. 27 af 19. Februar 1932 om Efterforskning og Indvinding af Raastoffer i Kongeriget Danmarks Undergrund.,1932-02-19,1932-02-19
1,"Undergrundslove, Eneretsbevilling m. m.",,,2,Lov Nr. 130 af 13. April 1938 om Tillæg til Lov Nr. 27 af 19. Februar 1932.,1938-04-13,1938-04-13
1,"Undergrundslove, Eneretsbevilling m. m.",,,3,F. F. Ravlins Skrivelse af 3. August 1934 til Statsministeriet.,1934-08-03,1934-08-03
1,"Undergrundslove, Eneretsbevilling m. m.",,,4,"Statsministeriets Skrivelse af 25. Januar 1935 til F. F. Ravlin, Miami, Florida, U.S.A.",1935-01-25,1935-01-25
1,"Undergrundslove, Eneretsbevilling m. m.",,,5,Højesteretssagfører Viggo Carstensens Skrivelse af 17. November 1936 til Statsministeriet.,1936-11-17,1936-11-17
1,"Undergrundslove, Eneretsbevilling m. m.",,,6,Eneretsbevilling til Efterforskning og Indvinding af Raastoffer i Kongeriget Danmarks Undergrund (dateret 7. Februar 1938).,1938-02-07,1938-02-07
1,"Undergrundslove, Eneretsbevilling m. m.",,,7,Overenskomst. (Den mellem Statsministeriet og Danish American Prospecting Company under 17. Februar 1940 afsluttede Tillægsoverenskomst til Eneretsbevillingen).,1940-02-17,1940-02-17
1,"Undergrundslove, Eneretsbevilling m. m.",,,8,Danmarks geologiske Undersøgelses Skrivelse af 21. November 1936 til Statsministeriet.,1936-11-21,1936-11-21
2,Politirapporter m. v.,A,Østmans Forklaringer til Politiet.,9,Politirapport af 11. Marts 1943.,1943-03-11,1943-03-11
2,Politirapporter m. v.,A,Østmans Forklaringer til Politiet.,10,Politirapport af 16. Marts 1943.,1943-03-16,1943-03-16
2,Politirapporter m. v.,A,Østmans Forklaringer til Politiet.,11,Politirapport af 9. April 1943.,1943-04-09,1943-04-09
2,Politirapporter m. v.,A,Østmans Forklaringer til Politiet.,12,Politirapport af 16. Oktober 1946.,1946-10-16,1946-10-16
2,Politirapporter m. v.,A,Østmans Forklaringer til Politiet.,13,Politirapport af 18. Oktober 1946.,1946-10-18,1946-10-18
2,Politirapporter m. v.,A,Østmans Forklaringer til Politiet.,14,Politirapport af 22. Oktober 1946.,1946-10-22,1946-10-22
2,Politirapporter m. v.,A,Østmans Forklaringer til Politiet.,15,Østmans skriftlige Erklæring til Politiet af 22. Oktober 1946.,1946-10-22,1946-10-22
2,Politirapporter m. v.,A,Østmans Forklaringer til Politiet.,16,Politirapport af 11. November 1946.,1946-11-11,1946-11-11
2,Politirapporter m. v.,A,Østmans Forklaringer til Politiet.,17,Politirapport af 17. April 1948.,1948-04-17,1948-04-17
2,Politirapporter m. v.,A,Østmans Forklaringer til Politiet.,18,Politirapport af 19. April 1948.,1948-04-19,1948-04-19
2,Politirapporter m. v.,A,Østmans Forklaringer til Politiet.,19,Politirapport af 17. April-12. Maj 1948.,1948-04-17,1948-05-12
2,Politirapporter m. v.,B,De tilsynsførende Geologers Forklaringer.,20,Kontorchef i Ministeriet for offentlige Arbejder S. Gardes Referat af hans Samtale med Dr. Victor Madsen den 15. Februar 1943 med Tilføjelser og Ændringer af Dr. Madsen.,1943-02-15,1943-02-15
2,Politirapporter m. v.,B,De tilsynsførende Geologers Forklaringer.,21,Politirapport af 2. April 1943.,1943-04-02,1943-04-02
2,Politirapporter m. v.,B,De tilsynsførende Geologers Forklaringer.,22,Politirapport af 17. April 1943.,1943-04-17,1943-04-17
2,Politirapporter m. v.,C,Personalets Forklaringer.,23,Politirapport af 19. Marts 1943.,1943-03-19,1943-03-19
2,Politirapporter m. v.,C,Personalets Forklaringer.,24,Politirapport af 19. Marts 1943.,1943-03-19,1943-03-19
2,Politirapporter m. v.,C,Personalets Forklaringer.,25,Politirapport af 23. Marts 1943.,1943-03-23,1943-03-23
2,Politirapporter m. v.,C,Personalets Forklaringer.,26,Politirapport af 25. Marts 1943.,1943-03-25,1943-03-25
2,Politirapporter m. v.,C,Personalets Forklaringer.,27,Politirapport af 26. Marts 1943.,1943-03-26,1943-03-26
2,Politirapporter m. v.,C,Personalets Forklaringer.,28,Politirapport af 27. Marts 1943.,1943-03-27,1943-03-27
2,Politirapporter m. v.,C,Personalets Forklaringer.,29,Politirapport af 24. April 1943.,1943-04-24,1943-04-24
2,Politirapporter m. v.,C,Personalets Forklaringer.,30,Politirapport af 7. Juli 1947.,1947-07-07,1947-07-07
2,Politirapporter m. v.,D,"Forklaringer m. m., afgivet af Direktør Thorkild Juncker, fhv. Minister Gunnar Larsen, Landsretssagfører Hermod Lannung og Overretssagfører Thorvald Mikkelsen.",31,Politirapport af 1. April 1943.,1943-04-01,1943-04-01
2,Politirapporter m. v.,D,"Forklaringer m. m., afgivet af Direktør Thorkild Juncker, fhv. Minister Gunnar Larsen, Landsretssagfører Hermod Lannung og Overretssagfører Thorvald Mikkelsen.",32,Politirapport af 24. September 1946 og flg.,1946-09-24,1946-09-24
2,Politirapporter m. v.,D,"Forklaringer m. m., afgivet af Direktør Thorkild Juncker, fhv. Minister Gunnar Larsen, Landsretssagfører Hermod Lannung og Overretssagfører Thorvald Mikkelsen.",33,Politirapport af 26. September 1946.,1946-09-26,1946-09-26
